"","experiment","method","missingness","noise","iteration","dir","file_name","median_r2","mean_r2","sd_r2","n_genes","n_methylation","n_cnv","n_edges","n_intra_edges","n_inter_edges","edge_density","clustering","betweenness_t200","time","recall_reference","precision_reference","f1_score_reference","fp_reference","fn_reference","tp_reference","r2mw.p.value_reference","recall_stability","precision_stability","f1_score_stability","fp_stability","fn_stability","tp_stability","r2mw.p.value_stability"
"62","mos","cocolasso_mos","0.5","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0.5_iteration_2.csv","0.323078987741621","0.334412853908326","0.142768229163869","8573","5516","6955","45523","27215","18308","0.000102800428839228","0.0976695372568868",NA,NA,"0.925368700265252","0.961736100390358","0.943201972574296","1735","3517","43608","2.41997761446502e-41","0.687158623119924","0.898184787387727","0.778626785487413","4863","19531","42900","1.46383434497243e-83"
"92","mos","cocolasso_mos","0.5","0","3","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0.5_iteration_3.csv","0.319088037125449","0.329947310737664","0.141527859616675","8519","5589","6754","44979","26987","17992","0.000103351963432941","0.0964261253270157",NA,NA,"0.907862068965517","0.955297532656023","0.930975954738331","2002","4342","42783","7.58039735327333e-73","0.679902612484182","0.899529541408833","0.774446035814959","4741","19984","42447","4.09726772091951e-127"
"122","mos","cocolasso_mos","0.5","0","4","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0.5_iteration_4.csv","0.320581175592209","0.33236136744627","0.141614668494065","8562","5568","6894","45392","27177","18215","0.00010269972490085","0.0988647660464891",NA,NA,"0.917347480106101","0.957029952845852","0.936768657363266","1941","3895","43230","1.46330498912966e-53","0.686485880411975","0.899754371969013","0.778783253379852","4775","19573","42858","6.65302322420114e-101"
"152","mos","cocolasso_mos","0.5","0","5","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_mos_experiment_noise_0_missing_0.5_iteration_5.csv","0.316385144365469","0.327989983882476","0.141337314516323","8585","5549","6857","45583","27414","18169","0.000103456394082003","0.0987159702800087",NA,NA,"0.922801061007958","0.9584545534691","0.940289955349903","1885","3638","43487","2.23867580618376e-90","0.688199772548894","0.899169160580123","0.779665015333805","4818","19466","42965","1.79326357936215e-150"
"18","so","cocolasso_so","0","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0_iteration_1.csv","0.307105555795108","0.328237205830311","0.14722335188147","7053","0","0","23290","23290","0","0.000468255946247354","0.0872151320232192",NA,NA,"1","1","1","0","0","23290","1","0.658947882935174","0.926148561614427","0.770027131229473","1720","11164","21570","3.92239670108206e-08"
"43","so","cocolasso_so","0","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0_iteration_2.csv","0.307105555795108","0.328237205830311","0.14722335188147","7053","0","0","23290","23290","0","0.000468255946247354","0.0872151320232192",NA,NA,"1","1","1","0","0","23290","1","0.658947882935174","0.926148561614427","0.770027131229473","1720","11164","21570","3.92239670108206e-08"
"73","so","cocolasso_so","0","0","3","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0_iteration_3.csv","0.307105555795108","0.328237205830311","0.14722335188147","7053","0","0","23290","23290","0","0.000468255946247354","0.0872151320232192",NA,NA,"1","1","1","0","0","23290","1","0.658947882935174","0.926148561614427","0.770027131229473","1720","11164","21570","3.92239670108206e-08"
"103","so","cocolasso_so","0","0","4","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0_iteration_4.csv","0.307105555795108","0.328237205830311","0.14722335188147","7053","0","0","23290","23290","0","0.000468255946247354","0.0872151320232192",NA,NA,"1","1","1","0","0","23290","1","0.658947882935174","0.926148561614427","0.770027131229473","1720","11164","21570","3.92239670108206e-08"
"133","so","cocolasso_so","0","0","5","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0_iteration_5.csv","0.307105555795108","0.328237205830311","0.14722335188147","7053","0","0","23290","23290","0","0.000468255946247354","0.0872151320232192",NA,NA,"1","1","1","0","0","23290","1","0.658947882935174","0.926148561614427","0.770027131229473","1720","11164","21570","3.92239670108206e-08"
"24","so","cocolasso_so","0.1","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0.1_iteration_1.csv","0.279020312282553","0.292801080728196","0.121955421142542","6872","0","0","21939","21939","0","0.000464636933856235","0.0880960670869478",NA,NA,"0.861786174323744","0.914854824741328","0.887527913506821","1868","3219","20071","6.70817494201604e-115","0.624915989491049","0.932403482382971","0.748303550198453","1483","12278","20456","7.23368059135621e-193"
"53","so","cocolasso_so","0.1","0","2","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0.1_iteration_2.csv","0.279249764304667","0.292330369977745","0.12254821036287","6881","0","0","22183","22183","0","0.000468576261562848","0.0852910467240929",NA,NA,"0.871919278660369","0.915430735247712","0.893145382974512","1876","2983","20307","4.12066559068481e-120","0.63087309830757","0.93093810575666","0.752080412258499","1532","12083","20651","5.77604145343602e-200"
"83","so","cocolasso_so","0.1","0","3","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0.1_iteration_3.csv","0.279969294059063","0.292787983892797","0.123076471432814","6918","0","0","22229","22229","0","0.000464538370819275","0.0865761407840154",NA,NA,"0.873593817088879","0.91529083629493","0.893956369867528","1883","2944","20346","1.44517826953716e-117","0.63130078817132","0.929641459354897","0.751960409730182","1564","12069","20665","1.33213484908159e-196"
"113","so","cocolasso_so","0.1","0","4","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0.1_iteration_4.csv","0.281216259140955","0.292765123063136","0.122406711935336","6897","0","0","22065","22065","0","0.000463923586266197","0.087651125790913",NA,NA,"0.862730785744955","0.910627690913211","0.886032410980046","1972","3197","20093","2.39463435334062e-115","0.627512677949533","0.930931339225017","0.749685213233818","1524","12193","20541","2.16215927987186e-194"
"143","so","cocolasso_so","0.1","0","5","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0.1_iteration_5.csv","0.280067675163542","0.293380844795078","0.122442395553998","6894","0","0","22129","22129","0","0.000465674257984086","0.0889472043610952",NA,NA,"0.868226706741091","0.913778299968367","0.890420308681389","1908","3069","20221","1.05129268666256e-110","0.629345634508462","0.930950336662298","0.75099794032408","1528","12133","20601","3.58201432022601e-188"
"33","so","cocolasso_so","0.5","0","1","/Volumes/seagate/230321_prostate_cancer/230330_all_raw_data/","cocolasso_so_experiment_noise_0_missing_0.5_iteration_1.csv","0.163712625853235","6866.93003184997","221332.424880014","5039","0","0","9930","9930","0","0.000391153055393812","0.0704390001243626",NA,NA,"0.351653069987119","0.824773413897281","0.493076459963877","1740","15100","8190","0","0.273996456283986","0.903222557905337","0.420448153009563","961","23765","8969","0"
